         82855265 function calls (80522673 primitive calls) in 312.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2757/1955   57.076    0.021  330.676    0.169 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:641(wait)
        4    0.032    0.008  198.602   49.650 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:280(iter_changes)
3819/2546    1.229    0.000  197.021    0.077 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\queue.py:180(get)
      148    0.001    0.000   86.231    0.583 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:164(_check)
27364/148    2.657    0.000   82.706    0.559 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\fsnotify\__init__.py:115(_check_dir)
14376/14370    0.394    0.000   31.930    0.002 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
      109    0.002    0.000   24.281    0.223 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:107(send)
       91    0.003    0.000   21.934    0.241 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\error_handling.py:201(format_var_str)
       37    0.001    0.000   21.814    0.590 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\concurrent\futures\_base.py:646(__exit__)
    38/37    0.001    0.000   21.785    0.589 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1104(__call__)
    38/37    0.008    0.000   21.777    0.589 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
    38/37    0.001    0.000   21.769    0.588 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1027(_bootstrap_inner)
  2562657    4.023    0.000   20.545    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:109(__repr__)
      218    0.012    0.000   18.908    0.087 {method 'sendall' of '_socket.socket' objects}
       36    0.001    0.000   17.980    0.499 g:\GitHub\PyKotor\.venv_3.13\Lib\site-packages\loggerplus\__init__.py:636(_log)
